en_name,th_name,course,province,region,calories_kcal,prep_time_minutes,is_vegetarian,sales_2025,price_baht,spice_level,rating_out_of_5
Nam Khaeng Sai,น้ำแข็งไส,dessert,Various,Various,533,120,True,305100,70,Mild,3.5
Kanom Ko,ขนมก้อ,dessert,Various,Various,733,30,False,,100,Hot,4.9
Mam,หม่ำ,main dish,Unknown,Unknown,374,30,,333500,150,Very Hot,
Kaeng Kari,แกงกะหรี่,main dish,Various,Various,208,10,False,335200,150,,3.0
Kao Man Kai,ข้าวมันไก่,main dish,Bangkok,Central,512,,False,,80,Mild,3.7
Krob Kem,กรอบเค็ม,snack,Bangkok,Central,837,30,False,10600,150,Very Hot,3.7
Tod Mun,ทอดมัน,main dish,Various,Various,758,120,False,,60,Mild,
Kao Phat American,ข้าวผัดอเมริกัน,main dish,Bangkok,Central,551,15,True,382000,100,Hot,4.0
Kluay Kaek,กล้วยแขก,snack,Various,Various,722,45,,345600,45,Not Spicy,3.1
Som Tam,ส้มตำ,main dish,Various,Various,502,60,False,169900,50,Medium,
Kanom Piak Pun,ขนมเปียกปูน,dessert,Various,Various,818,30,True,376300,150,Not Spicy,2.8
Kuai Tiao Mon,ก๋วยเตี๋ยวมอญ,main dish,Nonthaburi,Central,592,40,False,394000,40,Mild,5.0
Khao Kriap Pak Mo,ข้าวเกรียบปากหม้อ,snack,Various,Various,700,20,False,51000,150,Hot,2.6
Foi Thong,ฝอยทอง,dessert,Various,Various,661,30,False,248900,150,,3.4
Kao Phat,ข้าวผัด,main dish,Various,Various,209,25,True,290300,120,Very Hot,4.7
Kai Nam,ไข่น้ำ,main dish,Various,Various,,5,True,60300,40,Very Hot,3.0
Leng Saep,เล้งแซ่บ,main dish,Various,Various,,30,True,328600,25,Mild,3.9
Kuai Tiao Khaek,ก๋วยเตี๋ยวแขก,main dish,Ayutthaya,Central,328,90,True,149700,120,Very Hot,
Kanom La,ขนมลา,dessert,Unknown,Unknown,,120,False,462600,30,Hot,4.1
Rad Na,ราดหน้า,main dish,Bangkok,Central,651,25,True,243700,35,Mild,4.9
Khao Daek Nga,ข้าวแดกงา,snack,Various,Various,740,15,False,45400,60,Medium,3.5
Saku,สาคู,snack,Unknown,Unknown,172,15,True,462700,40,Very Hot,4.8
Kanom Ba Bin,ขนมบ้าบิ่น,snack,Various,Various,341,120,True,365100,60,Medium,3.9
Kaeng Nok Mo,แกงนอกหม้อ,main dish,Unknown,Unknown,284,5,,10900,40,Mild,4.8
Kanom Chamod,ขนมชะมด,dessert,Unknown,Unknown,572,60,False,66300,60,Hot,3.6
Yam Kai Yang Tao,ยำไก่อย่างเต่า,main dish,Unknown,Unknown,301,20,False,500000,25,,4.7
Tom Pret,ต้มเปรต,main dish,Unknown,Unknown,796,60,,374700,25,Not Spicy,
Thong Yip,ทองหยิบ,dessert,Various,Various,,25,False,477700,45,,3.2
Kaeng Thepho,แกงเทโพ,main dish,Central provinces,Central,605,,False,58500,50,Mild,2.6
Kaep Moo,แคบหมู,snack,Northern provinces,North,,,False,235000,100,Not Spicy,3.9
Kaeng Chuet,แกงจืด,main dish,Various,Various,555,45,False,148300,60,Mild,
Kanom Thuai,ขนมถ้วย,dessert,Various,Various,266,,,433200,50,Mild,4.9
Kung Ten,กุ้งเต้น,snack,Unknown,Unknown,125,25,True,368100,100,Not Spicy,
Klub Lamduan,กลีบลำดวน,dessert,Various,Various,259,60,False,127100,40,Not Spicy,
Kaeng Singhon,แกงสิงหล,main dish,Unknown,Unknown,325,15,False,169000,50,Very Hot,3.1
Kai Yat Sai,ไข่ยัดไส้,main dish,Various,Various,176,10,False,,50,Hot,3.2
Ang Ku,อังกู๊,dessert,Unknown,Unknown,573,60,False,221300,120,,4.2
Kaeng Hang Le,แกงฮังเล,main dish,Northern provinces,North,533,120,False,47300,60,Medium,4.0
