หลัก (ชื่อมิติข้อมูล),ประเภท (Data Type),รายละเอียด (คำอธิบายมิติข้อมูล)
en_name,text,ชื่อรายการอาหารภาษาอังกฤษ
th_name,text,ชื่อรายการอาหารภาษาไทย
course,text,"หมวดหมู่อาหาร (main dish, snack, dessert, salad, soup)"
province,text,จังหวัดต้นกำเนิดหรือแหล่งขึ้นชื่อ (หากไม่ระบุเป็น Various/Unknown)
region,text,"ภูมิภาค (Central, North, Northeast, South, Various, Unknown)"
calories_kcal,numeric,ปริมาณพลังงานของอาหาร (หน่วย: กิโลแคลอรี / kcal)
prep_time_minutes,numeric,ระยะเวลาในการจัดเตรียมและปรุงอาหาร (หน่วย: นาที)
is_vegetarian,boolean,"สถานะอาหารมังสวิรัติ / เจ (True = ใช่, False = ไม่ใช่)"
sales_2025,numeric,ยอดจำหน่ายประจำปี 2568 (หน่วย: บาท หรือจำนวนยอดขาย)
price_baht,numeric,ราคาจำหน่ายต่อหน่วย (หน่วย: บาท)
spice_level,text,"ระดับความเผ็ด (Not Spicy, Mild, Medium, Hot, Very Hot)"
rating_out_of_5,numeric,คะแนนความพึงพอใจและรีวิว (สเกลมาตรฐาน 0.0 - 5.0)
