en_name,th_name,course,province,region,calories_kcal,prep_time_minutes,is_vegetarian,sales_2025,price_baht,spice_level,rating_out_of_5
Nam Khaeng Sai,น้ำแข็งไส,dessert,Various,Various,533,120,TRUE,305100,฿70,Mild,3.5
Kanom Ko,ขนมก้อ,dessert,Various,Various,733,30,FALSE,,฿100,Spicy,4.9
Mam,หม่ำ,main dish,Unknown,Unknown,374,30,,333500, 150 ,Extra Spicy,N/A
Kaeng Kari,แกงกะหรี่,main dish,Various,Various,208,10,FALSE,335200,150,,3.0
Kao Man Kai,ข้าวมันไก่,main dish,Bangkok,Central,512,,FALSE,,฿80,Mild,3.7
Krob Kem,กรอบเค็ม,snack,Bangkok,Central,837,30,FALSE,10600, 150 ,Very Hot,3.7
Tod Mun,ทอดมัน,main dish,Various,Various,758,120,FALSE,, 60 ,MILD,
Kao Phat American,ข้าวผัดอเมริกัน,main dish,Bangkok,Central,551,15,TRUE,382000,100,Hot,4.0 stars
Kluay Kaek,กล้วยแขก,snack,Various,Various,722,45,,345600, 45 ,NOT SPICY,3.1
Som Tam,ส้มตำ,main dish,Various,Various,502,60,FALSE,169900, 50 ,Medium,
Kanom Piak Pun,ขนมเปียกปูน,dessert,Various,Various,818,30,TRUE,376300,150,not spicy,2.8
Kuai Tiao Mon,ก๋วยเตี๋ยวมอญ,main dish,Nonthaburi,Central,592,40,FALSE,394000,40,Mild,5.0 stars
Khao Kriap Pak Mo,ข้าวเกรียบปากหม้อ,snack,Various,Various,700,20,FALSE,51000, 150 ,Hot,2.6
Foi Thong,ฝอยทอง,dessert,Various,Various,661,30,FALSE,248900,150,None,3.4
Kao Phat,ข้าวผัด,main dish,Various,Various,209,25,TRUE,290300,฿120,Extra Spicy,4.7
Kai Nam,ไข่น้ำ,main dish,Various,Various,,5,TRUE,60300,40,VERY HOT,3.0
Leng Saep,เล้งแซ่บ,main dish,Various,Various,,30,TRUE,328600,25,Mild,3.9 stars
Kuai Tiao Khaek,ก๋วยเตี๋ยวแขก,main dish,Ayutthaya,Central,328,90,TRUE,149700, 120 ,very hot,
Kanom La,ขนมลา,dessert,Unknown,Unknown,,120,FALSE,462600,30,Spicy,4.1
Rad Na,ราดหน้า,main dish,Bangkok,Central,651,25,TRUE,243700,35,Mild,4.9
Khao Daek Nga,ข้าวแดกงา,snack,Various,Various,740,15,FALSE,45400,฿60,MEDIUM,3.5 stars
Saku,สาคู,snack,Unknown,Unknown,172,15,TRUE,462700,฿40,VERY HOT,4.8
Kanom Ba Bin,ขนมบ้าบิ่น,snack,Various,Various,341,120,TRUE,365100,฿60,MEDIUM,3.9
Kaeng Nok Mo,แกงนอกหม้อ,main dish,Unknown,Unknown,284,5,,10900,40,Mild,4.8
Kanom Chamod,ขนมชะมด,dessert,Unknown,Unknown,572,60,FALSE,66300,฿60,Spicy,3.6 stars
Yam Kai Yang Tao,ยำไก่อย่างเต่า,main dish,Unknown,Unknown,301,20,FALSE,500000,25,N/A,4.7
Tom Pret,ต้มเปรต,main dish,Unknown,Unknown,796,60,,374700,25,Not Spicy,N/A
Thong Yip,ทองหยิบ,dessert,Various,Various,,25,FALSE,477700,45,,3.2
Kaeng Thepho,แกงเทโพ,main dish,Central provinces,Central,605,,FALSE,58500,50,mild,2.6
Kaep Moo,แคบหมู,snack,Northern provinces,North,,,FALSE,235000,100,Not Spicy,3.9
Kaeng Chuet,แกงจืด,main dish,Various,Various,555,45,FALSE,148300,60,Mild,N/A
Kanom Thuai,ขนมถ้วย,dessert,Various,Various,266,,,433200,50,Mild,4.9
Kung Ten,กุ้งเต้น,snack,Unknown,Unknown,125,25,TRUE,368100,100,Not Spicy,N/A
Klub Lamduan,กลีบลำดวน,dessert,Various,Various,259,60,FALSE,127100,40,not spicy,
Kaeng Singhon,แกงสิงหล,main dish,Unknown,Unknown,325,15,FALSE,169000,฿50,Very Hot,3.1
Kai Yat Sai,ไข่ยัดไส้,main dish,Various,Various,176,10,FALSE,, 50 ,Spicy,3.2 stars
Ang Ku,อังกู๊,dessert,Unknown,Unknown,573,60,FALSE,221300,฿120,None,4.2 stars
Kaeng Hang Le,แกงฮังเล,main dish,Northern provinces,North,533,120,FALSE,47300,60,Medium,4.0
Kaeng Bum Bai,แกงบุ่มไบ่,main dish,Various,Various,249,30,FALSE,221000,50,medium,N/A
Phat Phong Kari,ผัดผงกะหรี่,main dish,Various,Various,831,60,FALSE,346700, 150 ,N/A,3.5
Kaeng Salae,แกงสะแล,main dish,Various,Various,177,,FALSE,271500,35,Very Hot,-1
Chun Pia,ชุนเปี๊ยะ,snack,Unknown,Unknown,734,20,FALSE,317800,฿35,Hot,4.1 stars
Kaeng Chuek Som,แกงชักส้ม,main dish,Various,Various,274,5,TRUE,374900,40,hot,
Kai Yang,ไก่ย่าง,main dish,Khon Kaen,Northeast,,120,FALSE,474000,N/A,Mild,N/A
Kanom Kui Chai,ขนมกุยช่าย,snack,Various,Various,241,45,FALSE,273300,,N/A,4.6
Nam Nang,น้ำหนัง,snack,Unknown,Unknown,298,5,FALSE,324600, 35 ,Not Spicy,3.2
Kaeng Khanun,แกงขนุน,main dish,Northern provinces,North,539,5,,39500, 40 ,Mild,4.1
Kao Raem Fuen,ข้าวแรมฟืน,main dish,Unknown,Unknown,332,15,FALSE,386900,฿30,Very Hot,N/A
Kuai Tiao,ก๋วยเตี๋ยว,main dish,Bangkok,Central,446,40,FALSE,189200,฿45,Hot,4.3
Kanom Ping,ขนมผิง,snack,Various,Various,359,15,FALSE,303800,70,medium,2.6
Kai Tai Nam,ไก่ใต้น้ำ,main dish,Northern provinces,North,240,60,FALSE,150600, 70 ,not spicy,2.6
Thong Muon,ทองม้วน,snack,Various,Various,490,,FALSE,362600,60,NOT SPICY,2.9 stars
Kanom Tua Paeb,ขนมถั่วแปบ,snack,Various,Various,194,5,FALSE,,฿60,Very Hot,-1
Khao Mao,ข้าวเม่า,dessert,Various,Various,131,,,52000,฿30,Mild,4.8
Thong Yod,ทองหยอด,dessert,Various,Various,168,20,FALSE,162800,฿45,Spicy,2.8
Rum,หรุ่ม,snack,Unknown,Unknown,506,30,FALSE,453700,120,,3.0
Ang Kab Bob,อังแกบบอบ,main dish,Unknown,Unknown,528,45,FALSE,56900,N/A,Medium,3.7 stars
Mee Krob,หมี่กรอบ,main dish,Bangkok,Central,499,25,FALSE,315900,40,MEDIUM,3.9
Kaeng Som,แกงส้ม,main dish,Various,Various,305,15,FALSE,16300,฿60,Mild,2.7
Pa Lo,พะโล้,main dish,Various,Various,501,5,TRUE,444700,฿40,Not Spicy,4.5
Kanom Luk Gawad,ขนมลูกกวาด,dessert,Unknown,Unknown,528,90,,420000,150,None,4.4 stars
Phat Prik Khing,ผัดพริกขิง,main dish,Various,Various,356,60,FALSE,86700,25,Spicy,3.1
Kaeng Liang,แกงเลียง,main dish,Various,Various,790,120,FALSE,426600, 120 ,Medium,3.6
Thu Kiao Tom Nam Tan,ถั่วเขียวต้มน้ำตาล,dessert,Various,Various,,120,FALSE,,150,,
Phat Priao Wan,ผัดเปรี้ยวหวาน,main dish,Various,Various,824,60,TRUE,262000,N/A,Hot,3.4
Sap Yaek,สัพแหยก,main dish,Unknown,Unknown,343,10,FALSE,24000,,Medium,N/A
Nam Ngiao,น้ำเงี้ยว,main dish,Northern provinces,North,848,40,FALSE,430400,35,None,3.7
Moo Cha Muang,หมูชะมวง,main dish,Various,Various,375,25,FALSE,262800,40,VERY HOT,N/A
Kaeng Runjuan,แกงรัญจวน,main dish,Central provinces,Central,568,25,FALSE,246100,100,Mild,4.4
Kraya Sadt,กระยาสารท,dessert,Various,Various,202,60,FALSE,,฿80,Very Hot,3.9
Dara Thong,ดาราทอง,dessert,Unknown,Unknown,551,5,FALSE,436300,70,Very Hot,4.5 stars
Thong Ek,ทองเอก,dessert,Various,Various,,20,FALSE,472000,฿150,Med,N/A
Tom Saep,ต้มแซ่บ,main dish,Northeast provinces,Northeast,420,120,,,N/A,Not Spicy,3.3 stars
Kaeng Rawaeng,แกงระแวง,main dish,Central provinces,Central,448,5,FALSE,447600,30,MILD,3.8 stars
Kaeng Bon,แกงบอน,main dish,Various,Various,,20,FALSE,11200,100,NOT SPICY,2.7
Kua Kling,คั่วกลิ้ง,main dish,Southern provinces,South,382,30,FALSE,56100,100,Medium,
Kanom Man Sampalang,ขนมมันสำปะหลัง,dessert,Various,Various,417,40,FALSE,362000,N/A,None,3.2
Kaeng Buan,แกงบวน,main dish,Central provinces,Central,794,25,FALSE,12300, 35 ,medium,
Khanom Chin Kaeng Kai Kua,ขนมจีนแกงไก่คั่ว,main dish,Various,Various,283,,,260200,,NOT SPICY,N/A
San Mo,แซนโม,main dish,Unknown,Unknown,814,60,FALSE,412100,,HOT,4.9
A Law,อาละหว่า,dessert,Unknown,Unknown,753,25,TRUE,348800,N/A,None,4.6
Kao Kha Mu,ข้าวขาหมู,main dish,Bangkok,Central,570,45,FALSE,19500,100,,3.8
Yen Ta Fo,เย็นตาโฟ,main dish,Bangkok,Central,464,120,TRUE,259400,฿150,Not Spicy,4.0
Bo Toa,บอเตาะ,main dish,Unknown,Unknown,,90,FALSE,199300,40,Very Hot,N/A
Dok Kai,ดอกไข่,snack,Unknown,Unknown,483,,TRUE,270500,฿70,MILD,-1
Moo Ping,หมูปิ้ง,snack,Various,Various,317,40,TRUE,129200,฿50,very hot,2.9
Kanom Kheaw,ขนมเขียว,snack,Various,Various,803,90,TRUE,414800,70,Not Spicy,4.9
Yam Sam Krob,ยำสามกรอบ,main dish,Various,Various,775,45,FALSE,451100,150,N/A,3.8 stars
Kanom Kae Aam,ขนมแก้อาม,dessert,Unknown,Unknown,546,10,TRUE,159700, 40 ,N/A,4.4
Kao Chi,ข้าวจี่,main dish,Rural areas,Northeast,843,40,FALSE,458400,70,Very Hot,2.8
Miang Kham,เมี่ยงคำ,snack,Various,Various,473,40,FALSE,395700,100,Medium,3.9
Sup Singapore,ซุปสิงคโปร์,main dish,Various,Various,,30,FALSE,153300,฿40,Very Hot,2.5
Thung Thong,ถุงทอง,snack,Bangkok,Central,664,,FALSE,476100,฿60,None,4.4
Otao,โอต้าว,snack,Unknown,Unknown,654,120,FALSE,266400, 35 ,Mild,4.1 stars
Kai Ob Fang,ไก่อบฟาง,main dish,Rural areas,Central,808,40,,365100,,Spicy,3.2
Khao Pan,ข้าวพัน,snack,Unknown,Unknown,291,20,TRUE,274100,50,,3.6 stars
Fak Khiao Kwan,ฟักเขียวกวน,dessert,Various,Various,574,20,FALSE,7400,40,not spicy,4.3
Krabong,กระบอง,snack,Unknown,Unknown,390,,TRUE,166800,60,,
Kaeng Phet,แกงเผ็ด,main dish,Various,Various,546,,FALSE,,฿25,not spicy,2.8
Kanom Jor Hu,ขนมเจาะหู,dessert,Unknown,Unknown,663,45,FALSE,,70,Very Hot,3.3
Sa Rim,ซ่าหริ่ม,dessert,Various,Various,766,25,FALSE,410500,80,Hot,3.0
